scenario,position_rmse,velocity_rmse
baseline,2.15821899467737,1.80180679913968
low_process_noise,5.04376739770601,2.53478693339763
high_process_noise,1.63694268325397,1.57923894243572
low_measurement_noise,0.900051800223258,1.33465285240203
high_measurement_noise,5.26971898793133,2.57314104767741
no_model_mismatch,1.27654113778436,1.19689936628147
